label,LST,NDVI,elevation,ACQ_DATE
1,15906.5,3204.0,117,1627516800000
1,15392.0,5136.0,955,1627516800000
1,15472.0,3379.0,414,1627516800000
1,15630.5,3649.0,659,1627516800000
1,15902.5,3809.0,81,1627516800000
1,15850.5,4037.0,41,1627516800000
1,15502.5,4027.0,970,1627516800000
1,15433.5,3503.0,542,1627516800000
1,15630.5,3717.0,538,1627516800000
1,15700.0,3401.0,60,1627516800000
1,15760.0,3333.0,182,1627516800000
1,15900.5,3053.0,177,1627516800000
1,15866.0,3294.0,159,1627516800000
1,15895.0,3727.0,127,1627516800000
1,15881.0,4642.0,118,1627516800000
1,15758.0,3489.0,23,1627516800000
1,15552.0,3605.0,763,1627516800000
1,15491.0,5066.0,491,1627516800000
1,15632.0,3832.0,613,1627516800000
1,15819.5,3626.0,112,1627516800000
1,15897.0,4733.0,154,1627516800000
1,15899.0,3691.0,125,1627516800000
1,15889.5,4243.0,165,1627516800000
1,15881.0,4642.0,89,1627516800000
1,15786.5,3908.0,51,1627516800000
1,15567.0,4409.0,814,1627516800000
1,15598.0,3991.0,580,1627516800000
1,15542.0,4044.0,618,1627516800000
1,15846.0,4060.0,182,1627516800000
1,15862.5,4418.0,100,1627516800000
1,15797.0,3134.0,40,1627516800000
1,15468.5,6340.0,743,1627516800000
1,15791.0,3818.0,228,1627516800000
1,15781.0,3804.0,207,1627516800000
1,15837.5,5376.0,128,1627516800000
1,15809.0,4480.0,242,1627516800000
1,15580.0,4654.0,390,1627516800000
1,15680.0,3793.0,288,1627516800000
1,15789.5,4288.0,156,1627516800000
1,15836.0,4844.0,196,1627516800000
1,15729.0,5576.0,205,1627516800000
1,15544.0,4006.0,744,1627516800000
1,15747.5,4965.0,155,1627516800000
1,15772.5,4831.0,143,1627516800000
1,15455.5,4318.0,607,1627516800000
1,15630.0,4540.0,447,1627516800000
1,15759.0,3898.0,177,1627516800000
1,15691.5,5301.0,134,1627516800000
1,15448.5,6819.0,962,1627516800000
1,15517.5,5833.0,679,1627516800000
1,15365.5,5063.0,1374,1627516800000
1,15647.0,4188.0,325,1627516800000
1,15537.5,5915.0,346,1627516800000
1,15366.5,3939.0,1137,1627516800000
1,15373.5,5111.0,1193,1627516800000
1,15334.5,5605.0,1222,1627516800000
1,15269.5,5822.0,1412,1627516800000
1,15232.5,4757.0,1535,1627516800000
1,15625.0,4143.0,191,1627516800000
1,15646.0,3908.0,309,1627516800000
1,15629.0,3689.0,475,1627516800000
1,15715.5,3746.0,251,1627516800000
1,15760.0,4781.0,227,1627603200000
1,15727.5,5633.0,241,1627603200000
1,15669.5,5787.0,157,1627603200000
1,15623.5,4939.0,329,1627603200000
1,15667.0,6190.0,266,1627603200000
1,15711.5,5545.0,180,1627603200000
