label,LST,NDVI,elevation,ACQ_DATE
1,15632.0,5234.0,633,1627862400000
0,15309.0,6106.0,836,1627245083647
1,15492.0,3971.0,870,1627689600000
0,15228.0,5920.0,1252,1626925356442
0,15581.0,2704.0,948,1627245083647
1,15786.0,3958.0,205,1627689600000
1,15580.0,6151.0,1130,1627948800000
1,15434.5,6101.0,632,1628121600000
1,15529.0,6968.0,831,1627862400000
0,15609.0,3567.0,1141,1627132571192
0,15654.0,4791.0,305,1627245083647
1,15613.0,4575.0,1002,1627948800000
1,15639.5,6615.0,308,1627516800000
1,15732.0,5160.0,851,1627948800000
1,15734.5,4852.0,34,1627516800000
1,15401.0,4622.0,876,1628640000000
0,15383.0,4218.0,1254,1625741058063
0,15691.0,2536.0,106,1627179158607
1,15314.0,5544.0,1358,1627603200000
1,15690.0,5944.0,340,1628035200000
0,15871.5,3526.0,137,1626787839704
0,15228.5,2603.0,1841,1626177765664
1,15464.0,5592.0,1045,1627948800000
1,15517.5,5833.0,679,1627516800000
1,15607.0,6448.0,899,1627862400000
1,15576.0,6567.0,591,1627689600000
1,15429.0,5063.0,919,1627516800000
0,15602.0,3214.0,1112,1627245083647
1,15684.0,5616.0,487,1627948800000
1,15510.0,4261.0,1124,1627862400000
1,15552.0,5475.0,703,1627862400000
1,15431.0,4310.0,1168,1627689600000
1,15683.0,5316.0,725,1627689600000
1,15458.5,6643.0,817,1627603200000
1,15480.0,3749.0,721,1627689600000
0,14998.0,4482.0,1378,1625582045543
1,15795.0,3242.0,602,1627689600000
1,15643.0,5861.0,535,1627862400000
1,15592.5,5567.0,381,1628208000000
0,15192.0,4620.0,1578,1627245083647
1,15902.5,3809.0,81,1627516800000
1,15644.0,5993.0,353,1627948800000
1,15612.0,4597.0,819,1627776000000
0,15263.0,4888.0,1386,1627245083647
0,15447.0,4736.0,1190,1626587329883
1,15471.5,6205.0,685,1628035200000
1,15547.0,5605.0,898,1627948800000
1,15653.0,4841.5,309,1627430400000
1,15580.0,6151.0,1130,1627862400000
1,15791.0,3818.0,228,1627516800000
1,15500.0,5018.0,561,1627603200000
1,15896.0,5633.0,241,1627689600000
1,15510.0,4261.0,1124,1627689600000
1,15768.0,6291.0,515,1627689600000
0,15600.5,2700.0,1474,1625422915982
0,15243.0,6490.0,1282,1627245083647
1,15759.0,5198.0,536,1627862400000
1,15673.0,6085.0,591,1627689600000
0,15432.0,3403.0,1422,1627245083647
0,15291.0,5682.0,475,1627245083647
0,15791.0,4636.0,138,1627037891103
1,15619.0,3956.0,874,1627776000000
0,15464.0,4416.0,699,1627245083647
0,15308.5,5917.0,611,1625308555270
1,15810.0,4164.0,78,1627516800000
1,15867.0,5582.0,183,1627776000000
1,15602.0,5422.0,892,1627776000000
0,15557.0,3617.0,1528,1627245083647
1,15525.0,6714.0,633,1627776000000
1,15604.0,4660.0,902,1627603200000
0,15534.0,4998.0,145,1625774987049
0,15345.0,4413.0,1479,1627245083647
1,15825.0,6297.0,406,1627689600000
0,15830.0,2582.0,1103,1627245083647
1,15585.0,4588.0,549,1627603200000
1,15450.0,5816.0,1129,1627689600000
1,15660.0,5096.0,430,1627603200000
1,15567.0,5446.0,405,1628035200000
1,15653.5,5138.0,505,1628035200000
1,15828.0,4562.0,146,1627689600000
0,15466.0,4009.0,1230,1627245083647
0,15545.0,2951.0,1386,1627245083647
1,15613.0,4575.0,1045,1627948800000
0,15646.0,2766.0,36,1627245083647
1,15643.0,4563.0,343,1627603200000
1,15631.0,6677.0,583,1627948800000
0,15396.0,6729.0,473,1627245083647
1,15643.0,6549.0,235,1627516800000
1,15714.5,4694.0,929,1627516800000
0,15700.0,3152.0,169,1627245083647
1,15846.0,4420.0,157,1627430400000
1,15537.0,5961.0,247,1628640000000
1,16020.0,3493.0,107,1627862400000
1,15815.5,4375.0,188,1627603200000
1,15680.5,5033.0,150,1627603200000
1,15794.0,3935.0,254,1627862400000
0,15457.5,3227.0,1039,1625256941058
0,15515.0,3206.0,1339,1627245083647
1,15787.0,4660.0,822,1627689600000
1,15676.5,2854.0,268,1627516800000
1,15686.5,5704.0,159,1627516800000
1,15519.0,6161.0,898,1627776000000
1,15574.0,2991.0,111,1627516800000
0,15468.0,2887.0,1216,1627245083647
1,15644.0,6125.0,549,1627862400000
1,15273.0,6077.0,1040,1628035200000
1,15309.0,5154.0,1452,1627948800000
1,15411.0,5718.0,1413,1627689600000
1,15754.0,5047.0,669,1627862400000
1,15477.0,5273.0,1419,1627776000000
1,15471.0,4035.0,1102,1627862400000
1,15935.0,5123.0,486,1627689600000
1,15653.0,5084.0,892,1627776000000
1,16021.0,2617.0,304,1626480000000
1,15865.0,6419.0,249,1627689600000
1,15643.0,5979.0,588,1627689600000
0,15517.0,6594.0,249,1626435114682
0,15565.0,2628.0,1786,1626669461729
1,15649.5,5807.0,503,1627516800000
1,15815.0,5451.0,150,1627516800000
